Fecha,Precio
2022-07-01,2.79100000
2022-07-02,2.73200000
2022-07-03,2.72200000
2022-07-04,2.74600000
2022-07-05,2.93300000
2022-07-06,2.78900000
2022-07-07,2.87100000
2022-07-08,2.94000000
2022-07-09,2.90300000
2022-07-10,2.90700000
2022-07-11,2.75400000
2022-07-12,2.61100000
2022-07-13,2.47700000
2022-07-14,2.58800000
2022-07-15,2.65300000
